metric,timestamp,value
"{'__name__': 'mqtt_voltage', 'instance': 'mqtt2prometheus:9641', 'job': 'mqtt', 'sensor': 'SENSOR', 'sensor_type': 'tasmota', 'topic': 'tele/345pic08/SENSOR'}",2025-02-22 22:28:19,159
"{'__name__': 'mqtt_voltage', 'instance': 'mqtt2prometheus:9641', 'job': 'mqtt', 'sensor': 'SENSOR', 'sensor_type': 'tasmota', 'topic': 'tele/345pic08/SENSOR'}",2025-02-22 22:29:19,159
"{'__name__': 'mqtt_voltage', 'instance': 'mqtt2prometheus:9641', 'job': 'mqtt', 'sensor': 'SENSOR', 'sensor_type': 'tasmota', 'topic': 'tele/345pic08/SENSOR'}",2025-02-22 22:30:19,159
"{'__name__': 'mqtt_voltage', 'instance': 'mqtt2prometheus:9641', 'job': 'mqtt', 'sensor': 'SENSOR', 'sensor_type': 'tasmota', 'topic': 'tele/345pic08/SENSOR'}",2025-02-22 22:31:19,159
"{'__name__': 'mqtt_voltage', 'instance': 'mqtt2prometheus:9641', 'job': 'mqtt', 'sensor': 'SENSOR', 'sensor_type': 'tasmota', 'topic': 'tele/345pic08/SENSOR'}",2025-02-22 22:32:19,159
"{'__name__': 'mqtt_voltage', 'instance': 'mqtt2prometheus:9641', 'job': 'mqtt', 'sensor': 'SENSOR', 'sensor_type': 'tasmota', 'topic': 'tele/345pic08/SENSOR'}",2025-02-22 22:33:19,159
"{'__name__': 'mqtt_voltage', 'instance': 'mqtt2prometheus:9641', 'job': 'mqtt', 'sensor': 'SENSOR', 'sensor_type': 'tasmota', 'topic': 'tele/345pic08/SENSOR'}",2025-02-22 22:34:19,159
"{'__name__': 'mqtt_voltage', 'instance': 'mqtt2prometheus:9641', 'job': 'mqtt', 'sensor': 'SENSOR', 'sensor_type': 'tasmota', 'topic': 'tele/345pic08/SENSOR'}",2025-02-22 22:35:19,159
"{'__name__': 'mqtt_voltage', 'instance': 'mqtt2prometheus:9641', 'job': 'mqtt', 'sensor': 'SENSOR', 'sensor_type': 'tasmota', 'topic': 'tele/345pic08/SENSOR'}",2025-02-22 22:36:19,159
"{'__name__': 'mqtt_voltage', 'instance': 'mqtt2prometheus:9641', 'job': 'mqtt', 'sensor': 'SENSOR', 'sensor_type': 'tasmota', 'topic': 'tele/345pic08/SENSOR'}",2025-02-22 22:37:19,159
